;Texto;Valor
0;candidato qual o seu mbti;0
1;Emblemático,  hoje o povo mineiro... Com o presidente/candidato;0
2;Qual o papel do Ciro Gomes e Simone Tebet hoje? Muito simples: levar Bolsonaro para o segundo turno das eleições!;0
3;O problema do Presidente…;1
4;Olha aí o amigão do Lula, o candidato mais democrata do Brasil de acordo com a imprensa.;1
5;Ciro Gomes será o próximo presidente do Brasil!;1
6;Hoje sai para as ruas com minha capa #AgoraÉCiro , fui voar pelo centro de SP,conversar com as pessoas e voltei emocionada com a quantidade de abordagens positivas e de eleitores de Ciro! Acreditem! Militem! Lutem! Não Desistam! CIRO GOMES SERÁ O PRÓXIMO PRESIDENTE DO BRASIL;1
7;Meus pais juntinhos assistindo a entrevista do Presidente.;1
8;lula presidente brasil hexa paramore e billie eilish no brasil RAPAZEADA TAMO COM A FACA E O QUEIJO NA MÃO;1
9;"Fake news sobre o almoço do presidente e a primeira-dama com o assassino, sendo impulsionada pelo twitter como ""Filmes & TV""!? Quando irão abrir uma CPI pra investigar as VERDADEIRAS notícias falsas patrocinadas por essas pessoas e os responsáveis por essa plataforma?";1
10;Ciro me representa! Esta insatisfação, raiva e repulsa pelo absurdo do consignado do Auxilio Brasil é prova do quão ele ama este país, este povo! Melhor candidato é Ciro. Não tem outro! #CIROGAMES;1
11;O ex-jogador Douglas, do Grêmio, será candidato a deputado federal pelo União Brasil no Rio Grande do Sul.;1
12;MTV? Não. Multishow? Também não. Essa é a nova #CiroTV com o próximo presidente do Brasil.;1
13;o presidente do país te olhando;1
14;O ATUAL PRESIDENTE DO BRASIL TA DEFENDENDO O DESMATAMENTO, ESSE HOMEM É UM INÚTIL.;1
15;Candidato é o k@ralho, é PRESIDENTE porr@. Tô nos nervos!!!;1
16;Chegada do presidente da boca maldita.;1
17;Não tem quem segure esse tsunami do bem.           Não tenho dúvidas que a votação do presidente Bolsonaro, será em torno de 70%.;2
18; DIREITA FORTE E A LIVE DO PRESIDENTE 12 Melhores momentos Essa semana trouxemos um pouco dos candidatos apoiados pelo presidente. Anotem pra não errar #BolsonaroReeleito2022 #capitaodopovo;2
19;Entrevista de Bolsonaro no Flow Mostra um outro presidente, que desconhecíamos. Se você odeia o cara, assista meia hora pelo menos.;2
20;O Presidente Bolsonaro reduziu os impostos do WHEY PROTEIN;2
21;Esse é o resultado da entrevista do presidente Bolsonaro ontem. O pior cego é aquele que não quer enxergar. Uol elogiando é porque foi bom mesmo!;2
22;Não tem conversa. Esse é o cara esse é O MEU PRESIDENTE!;2
23;Um eleitor do Lula jogou um objeto em Bolsonaro, enquanto o presidente estava pilotando durante uma motociata. Você não vai ver a Vera Magalhães preocupada com a democracia.;2
24;Estou assistindo o Bolsonaro no Flow pela segunda vez... Ele é o melhor presidente do Brasil mesmo, não tem como kkkkkkkk;2
25;Imagine se essa frase fosse do nosso presidente Bolsonaro? O que a mídia estaria falando?;2
