;Texto;Valor
0;Alguém consegue explicar pq a Região Nordeste sempre fica pro final da apuração em toda eleição presidencial? É regra no TSE??;0
1;Neymar fazendo live com Bolsonaro pelo fim da corrupção. Dois dias atrás ele estava como réu na Espanha por corrupção empresarial e sonegação de 51 MILHÕES em impostos.;2
2;o que o Neymar tá desesperado se o Lula ganhar descobrir a sonegação dele é sacanagem;1
3;Vendo Tarcisio agora pelo “Flow” e também em outros lugares que já pude assistir, e eu noto o quanto ele é um fiel escudeiro do Presidente Bolsonaro. Inacreditável a fidelidade dele. Uma grande dupla!;1
4;BOLSONARO NÃO CONHECIA SEU VIZINHO QUE MATOU MARIELLE FRANCO;2
5;“Não existe ideologia de gênero, isso é uma mentira do Bolsonaro” Todo mundo deveria saber o que é PNDH3;0
6;Não esquecer que o Lula reduziu impostos para máquina de lavar, tanquinho, geladeira e fogão. Já Bolsonaro reduziu impostos para iate, jet ski, balão e whein protein.;1
7;Gente, minha namorada terminou o Namoro pq sou bolsominions...;0
8;alguém sabe como tirar as propagandas do bolsonaro nos vídeos do meu canal do youtube???? Tem como???;0
9;VERGONHA! Bolsonaro cortou 87% de doação de leite a famílias na miséria no Nordeste e MG. É o primeiro governo em defesa da fome da história!;1
10;Minha filha de 13 anos estava dormindo no meu carro após um show em Belo Horizonte, quando “PINTOU UM CLIMA” na cabeça de um homem que estava na rua achou que isso o autorizava a enfiar a mão no nosso carro e manipular o corpo dela. É isso que a fala do Bolsonaro corrobora.;0
11;O povo já tá sabendo que Bolsonaro cortou 87% de doação de leite para famílias na miséria no Nordeste e em Minas Gerais?;1
12;Avisa lá que Minas virou. Agora é: viramos o trem!!!;2
13;"""Para a mulher brasileira, votar no Lula, é um ato de legitima defesa"" _Marina Silva";1
14;Retratação: Bolsonaro não é pedófilo! Bolsonaro não debochou das vítimas da COVID e nunca matou nem mandou matar ninguém! Bolsonaro não é miliciano. Bolsonaro não é racista nem machista! Bolsonaro não divulga fake News! Bolsonaro nunca fez rachadinha nem é corrupto!;2
15;AGORA: Maioria do plenário do TSE aprova direito de resposta de Lula contra Bolsonaro no horário eleitoral. Petista terá direito a 116 inserções no horário que estava reservado ao atual presidente.;1
16;Baita mimimi esse do Bolsonaro em relação ao Janones. Engraçado um macho imbroxável não aguentar uma crítica. A liberdade de expressão tem dois pesos e duas medidas? Ou é por conta da pedofilia mesmo? Ah, tá, é que não rolou sigilo de 100 anos nesse caso.;0
17;_Juiz de Fora-MG. Quem está colocando a massa na rua é o #Lula. E alguns com derrotismo, perplexos, paralisados. Só o derrotismo pode nos derrotar. Pra cima, minha gente! Nas redes,nas ruas, no bairro, na família, nos amigos e no trabalho,muito voto pra ganhar.E nós vamos vencer!;0
18;Dia 30 (eleição) do 10 (Tarcísio) de 22 é (Bolsonaro) Boa noite!;2
19;"Pensando cá comigo... ""Se só RICO vota em Bolsonaro e Loola tirou todo mundo da POBRESA, então todo mundo vai VOTAR no Bolsonaro""";2
20;DIVULGUEM a nova maldade do governo Bolsonaro! Corte de 87% de doação de leite a famílias na miséria no Nordeste de Minas. Assim ele fará no Brasil inteiro após a eleição.;1
21;Você está em dúvida em quem votar? Eu te digo o seguinte: VOTE EM @LulaOficial, #LulaPresidente2022, que em 1º de janeiro O SIGILO VAI ACABAR e eu te garanto que você ficará muito feliz de não ter votado em Bolsonaro, um dos maiores corruptos e criminosos de nossa história!;1
22;pra que bola de ouro p Neymar se ele já está com as duas bolas do Bolsonaro dentro da boca;0
23;py*ng lee falou em podcast q ele vai votar no bolsonaro pq é a favor da família tradicional kkkkkkkkk não foi ele que foi participar de reality enquanto o filho nascia e depois foi em outro reality trair a esposa????;2
24;Você  concorda com a liberação das drogas? (  ) Sim (  ) Não;2
25;Quem ganha até 5 mil reais não vai mais pagar imposto de renda. Vamos parar de descontar o imposto de gente de classe média e cobrar dos muito ricos.;1
26;Eu sou antipetista desde antes isso ser modinha. Desde quando Bolsonaro era da base do PT. Voto no Lula CONTRA Bolsonaro porque ele não deixaria meu padrinho morrer de COVID enquanto estaria fazendo motociata, negando vacinas, dançando funk em lancha e debochando da minha cara.;0
27;TODOS os videos do Youtube Brasil tão com propaganda do Bolsonaro. Como pode? De onde saiu tanto dinheiro? Ou será que foi cortesia da própria plataforma? Não existem anúncios do Lula? Da galinha pintadinha ao canal da BBC Brasil, tudo tá com propaganda do Bolsonaro.;2
28;Me segue mas ainda não sigo? Da um Oi pra gente interagir e eu poder seguir de volta! JUNTOS SOMOS MAIS FORTES! Brasil;0
29;Um pequeno teste: Curte quem vai votar em Bolsonaro.;0
30;"muito amor pela frase ""vamo, é de graça"" com intenção de convencer alguém a ir pra uma das maiores insalubridades já vistas pela humanidade";1
31;Bolsonaro avisa: o Nordeste será reindustrializado! Será milhares de empregos!;1
32;Pq as pessoas que melhoraram de vida no governo Lula odeiam o Lula? Quero entender isso No sudeste, o antipetista é o cara q comprou casa própria, fez faculdade, viajou pra fora, comprou carro zero E hj odeia a origem Hj odeia o Lula;0
33;O TSE vai eleger Bolsonaro!;2
34;ATENÇÃO! Bolsonaro CONFIRMOU que planejam mudar a Constituição para desvincular o aumento salário mínimo da inflação. Para aumentar o salário acima da inflação, NÃO PRECISA de mudança de lei. Só para diminuir. Adivinha qual o plano deles?;2
35;URGENTE: Bolsonaro abre 15,2 pontos de vantagem sobre Lula em São Paulo, maior colégio eleitoral do País. Fonte: Paraná Pesquisas;0
36;Simone Tablet acaba de declarar que Bolsonaro é pedófilo e deveria ser preso. Alô, jurídico do PR! Vamo trabalhar!;0
37;Quantos medicamentos para câncer o governo poderia comprar com o dinheiro que o Neymar deve de imposto?;2
38;"É direito de resposta mas Ministra do TSE suspende 164 ""direitos de resposta"" dados a Lula. Até nisso estão trabalhando para sabotar . É direito mas não tem direito .";0
39;Se isso não é crime o que fazer ? Ambulância é usada para transportar material de campanha de Bolsonaro e Tarcísio em SP: Estão usando ambulâncias e carros oficiais para essa missão . Só aqui mesmo .;0
40;Sabe pq o PT ainda existe? Porque existem estúpidos o suficiente para acreditar que Lula dará PICAnha;0
41;Bom dia ! Que alegria em ver os Brasileiros se movimentando cada vez mais em Prol da reeleição do nosso Presidente Bolsonaro.! Esse é o foco !  #BolsonaroPresidente22;2
42;"PARANÁ PESQUISAS - SP - DE 16 A 20/10: TOTAIS: - Bolsonaro: 51,9% (+1,9) - Lula: 38,2% (-2,7) VÁLIDOS: - Bolsonaro: 57,6% (+2,7) - Lula: 42,4% (-2,7) *LULA CAI ACIMA DA MARGEM DE ERRO EM SP. **PESQUISA IDETIFICOU ""VIRA VOTO"" EM SP. #Eleicoes2022";1
43;Quero que a @MarinaSilva e a @simonetebetbr saibam: vocês não estão me apoiando, estão apoiando o povo brasileiro em busca de democracia.;0
44;"Notícia boa! ""Bolsonaro promete aumento real do salário mínimo em 2023 e reajuste para funcionários públicos federais, caso reeleito.""";0
