;Texto;Valor
22;Agradecido Presidente!;1
23;Eu apoio meu Presidente;1
24;Programa Eleitoral - Presidente - Lula - Noite - 30/08/2022;1
25;Ouçam com atenção..quem vota no Presidente aplaude;1
26;Presidente hoje na Marcha para Jesus em Recife/PE. 06/08/2022 Nordeste é Bolsonaro, vai ser no 1º turno!;1
27;Parabéns Presidente;1
28;Presidente é ovacionado ao discursar no Parque de Exposições João Alencar Athayde em Montes Claros/MG. 05/08/2022;1
29;Imagem linda!! Amo o meu Presidente!! Orgulho!! Montes Claros MG 06/08/22;1
30;Esse é o Brasil que queremos com Lula presidente. Obrigado por nos inspirar @pejulio;1
31;José Maria Trindade coloca os pingos nos is, sobre o grau de engajamento, entre Lula e o Presidente Bolsonaro. #BolsonaroReeleitoEm2022;1
32;Amanhã o presidente Lula estará no Jornal Nacional. Você irá assistir? #LulaNoJN;1
33; Presidente se emocionou ao falar sobre a doença #BolsonaroNoFlow;1
34;Rica fez uma resenha no canal dele contando sobre a entrevista com o Presidente, peguei essa parte ele dando a opinião sobre a notícia canalha q saiu ontem… https://youtu.be/L5JRu3G4dY0;1
35;Como é bom ouvir um PRESIDENTE falar, chega a dar um alivio neh? @LulaOficial #LulaNoJN;1
