;Texto;Valor
36;Sinceramente: nunca vi um presidente levar em público um esporro tão escandaloso. Sem que que seu nome tenha sido citado.  Mas foi pra ele.;2
37;Ô @AttuchLeonardo , o Presidente veio jantar agora. Vai mentir novamente que ele foi expulso? A realidade é que vocês perderam as ruas, as redes, os corações e as mentes dos brasileiros. O Presidente tem o respeito da maior parte do povo que o admira e respeita.;2
38;NÃO ESQUECER: Tão importante quanto eleger Lula presidente é eleger deputados e senadores comprometidos com o projeto de reconstrução do Brasil que Lula defende. Faltam 62 dias...;2
39;Candidato pra mim tem que ser guerreiro como o @PastorLiomar que realmente se expõe e luta muito por um Brasil melhor. Esses candidatos que tem por aí que não fazem nada e só aparecem a cada 4 anos, pedindo seu voto,tentando a reeleição,esses pra mim não servem...;2
40;Essa será as eleições de nossas vidas, a mais importante de todas dos último 20 anos,não podemos errar, não podemos perder o foco, o Brasil é soberano, esse País precisa ser libertado da tirania do Bolsonaro . Brasil livre;2
41;Depois da atuação vexaminosa do candidato que tava pra vencer no primeiro turno, teremos pesquisas Data Folha e Ex- Ibope?;2
42;Tem uma galera que está achando graça a gente comemorar que está pontuando na primeira pesquisa no início das eleições e não tem ideia do que é fazer uma campanha só com trabalho militante, sem fundo partidário, sem profissionalizar todos os setores.;2
43;Achou que a pandemia ficou pra trás e não vai ser importante nas eleições? ACHOU ERRADO, OTÁRIO Todo mundo sabe o que foi Todo mundo lembra E, pra quem não lembra, a campanha vai refrescar a memória NÃO ESQUECEREMOS;2
44;Min. Fachin negou pedido do Ministério da Defesa de acesso a documentos de eleições passadas. Saber como foi é essencial para prevenir. Pelo art. 37 da Constituição deveriam ser públicos para todos os brasileiros. Me faz lembrar motorista que se recusa a soprar no bafômetro.;2
45;Não precisava mais contratar, pq Guilherme e Thaciano iam agregar muito. Um reserva ruim e outro nem entra. Parabéns Denis... e quer ser candidato ainda... Vai tomar vergonha na cara.;2
46;fiquei sabendo q a marina Silva n vai competir nessa eleição meu voto vai ser no ciro;2
47;Já estou pronta para apresentar nosso programa e debater com os demais candidatos. Vamo pra cima, pelo Poder Popular e pelo Socialismo! #ViviMottaDebate #DebateNaBand;2
48;“Acabou o presidencialismo. O Bolsonaro não manda nada. Ele é refém do Congresso. O Bolsonaro sequer cuida do orçamento. Quem cuida é o Lira, ele que libera verba, o Ministro liga pra ele, não liga pro presidente. Isso nunca aconteceu desde a proclamação da república” #LulaNoJN;2
49;Aqui no Ceará os candidatos do MDB não estão ligando muito pra Tebet;2
50;CIRO FOI DIVULGAR O PRÓPRIO LIVRO E DISSE QUE TEM GENTE JÁ COLOCANDO PRA BAIXAR DE GRAÇA NA INTERNET DEFENSOR DA PIRATARIA DO PRÓPRIO LIVRO, NÃO TEM COMO NÃO VOTAR NESSE CARA MITADA DO PRESIDENTE CIRO GOMES;2
51;senhor candidato na sua opiniao quem vai faze o gol do hexa;2
52;Como vai ser esse debate? Candidatos esquerdistas derramando MENTIRAS tentando enganar o povo brasileiro e Jair Bolsonaro falando as VERDADES que o povo precisa saber. Traz a pipoca!!!;2
53;Ciro gomes podia ganhar as eleições, pena que brasileiro não sabe votar;2
54;Os valores que os candidatos à Presidência da República propõe pagar de auxílio (antigo Bolsa Família) à famílias de baixa renda caso sejam eleitos: Ciro Gomes = R$ 1,000.00 Lula = R$ 600,00 Bolsonaro (ainda não definiu) Simone Tebet = (ainda não definiu);2
55;"Este é o matemático que quer ser Presidente. Ele acaba de exterminar toda a atual população brasileira e também os que ainda não nascerem. ""O Brasil tem 3% da população do mundo, na pandemia aqui morreram ""11% da população do mundo""???????????";2
56;Democracia não é só o voto, mas tudo que envolve a escolha dele, inclusive os debates, o candidato que não vai a debates não tem respeito pela democracia.;2
