;Texto;Valor
0;fiquei sabendo q a marina Silva n vai competir nessa eleição meu voto vai ser no ciro;0
1;senhor candidato na sua opiniao quem vai faze o gol do hexa;0
2;Não precisava mais contratar, pq Guilherme e Thaciano iam agregar muito. Um reserva ruim e outro nem entra. Parabéns Denis... e quer ser candidato ainda... Vai tomar vergonha na cara.;0
3;Achou que a pandemia ficou pra trás e não vai ser importante nas eleições? ACHOU ERRADO, OTÁRIO Todo mundo sabe o que foi Todo mundo lembra E, pra quem não lembra, a campanha vai refrescar a memória NÃO ESQUECEREMOS;0
4;Depois da atuação vexaminosa do candidato que tava pra vencer no primeiro turno, teremos pesquisas Data Folha e Ex- Ibope?;0
5;CIRO FOI DIVULGAR O PRÓPRIO LIVRO E DISSE QUE TEM GENTE JÁ COLOCANDO PRA BAIXAR DE GRAÇA NA INTERNET DEFENSOR DA PIRATARIA DO PRÓPRIO LIVRO, NÃO TEM COMO NÃO VOTAR NESSE CARA MITADA DO PRESIDENTE CIRO GOMES;1
6;Sinceramente: nunca vi um presidente levar em público um esporro tão escandaloso. Sem que que seu nome tenha sido citado.  Mas foi pra ele.;1
7;Candidato pra mim tem que ser guerreiro como o @PastorLiomar que realmente se expõe e luta muito por um Brasil melhor. Esses candidatos que tem por aí que não fazem nada e só aparecem a cada 4 anos, pedindo seu voto,tentando a reeleição,esses pra mim não servem...;1
8;Ô @AttuchLeonardo , o Presidente veio jantar agora. Vai mentir novamente que ele foi expulso? A realidade é que vocês perderam as ruas, as redes, os corações e as mentes dos brasileiros. O Presidente tem o respeito da maior parte do povo que o admira e respeita.;1
9;Tem uma galera que está achando graça a gente comemorar que está pontuando na primeira pesquisa no início das eleições e não tem ideia do que é fazer uma campanha só com trabalho militante, sem fundo partidário, sem profissionalizar todos os setores.;1
10;Democracia não é só o voto, mas tudo que envolve a escolha dele, inclusive os debates, o candidato que não vai a debates não tem respeito pela democracia.;1
11;Essa será as eleições de nossas vidas, a mais importante de todas dos último 20 anos,não podemos errar, não podemos perder o foco, o Brasil é soberano, esse País precisa ser libertado da tirania do Bolsonaro . Brasil livre;2
12;Min. Fachin negou pedido do Ministério da Defesa de acesso a documentos de eleições passadas. Saber como foi é essencial para prevenir. Pelo art. 37 da Constituição deveriam ser públicos para todos os brasileiros. Me faz lembrar motorista que se recusa a soprar no bafômetro.;2
13;"Este é o matemático que quer ser Presidente. Ele acaba de exterminar toda a atual população brasileira e também os que ainda não nascerem. ""O Brasil tem 3% da população do mundo, na pandemia aqui morreram ""11% da população do mundo""???????????";2
14;Já estou pronta para apresentar nosso programa e debater com os demais candidatos. Vamo pra cima, pelo Poder Popular e pelo Socialismo! #ViviMottaDebate #DebateNaBand;2
15;“Acabou o presidencialismo. O Bolsonaro não manda nada. Ele é refém do Congresso. O Bolsonaro sequer cuida do orçamento. Quem cuida é o Lira, ele que libera verba, o Ministro liga pra ele, não liga pro presidente. Isso nunca aconteceu desde a proclamação da república” #LulaNoJN;2
16;Aqui no Ceará os candidatos do MDB não estão ligando muito pra Tebet;2
17;NÃO ESQUECER: Tão importante quanto eleger Lula presidente é eleger deputados e senadores comprometidos com o projeto de reconstrução do Brasil que Lula defende. Faltam 62 dias...;2
18;Como vai ser esse debate? Candidatos esquerdistas derramando MENTIRAS tentando enganar o povo brasileiro e Jair Bolsonaro falando as VERDADES que o povo precisa saber. Traz a pipoca!!!;2
19;Ciro gomes podia ganhar as eleições, pena que brasileiro não sabe votar;2
20;Os valores que os candidatos à Presidência da República propõe pagar de auxílio (antigo Bolsa Família) à famílias de baixa renda caso sejam eleitos: Ciro Gomes = R$ 1,000.00 Lula = R$ 600,00 Bolsonaro (ainda não definiu) Simone Tebet = (ainda não definiu);2
