;Texto;Valor
12;Prego batido e ponta virada: meu nome foi aprovado na convenção do PL para ser candidato a deputado estadual pelo Ceará. Ao lado de @jairbolsonaro vamos continuar transformando o Nordeste e o Brasil. Rumo à vitória, meu povo!;1
13;ESCÁRNIO Ricardo Coutinho (PT) quando governador da Paraíba recebeu R$ 138 milhões em propinas de empresários da saúde. Tudo filmado e delatado. Ontem, Coutinho e Lula se abraçaram, às gargalhadas. Ele é o candidato de Lula ao Senado. O Brasil não vai aguentar isso de novo.;1
14;Você sabe o que é #BocadeUrna, como funciona e quais são as consequências? Caso se depare com alguém fazendo esse tipo de propaganda eleitoral irregular, saiba o que fazer;1
15;O cara foi condenado por diversos juízes e hoje está em um debate como candidato à presidência da república. Surreal demais!;1
16;Estamos vivendo um passo a passo clássico de um escândalo no RJ. O governador passou o primeiro degrau - abriu uma comissão de auditoria -: o segundo - demitiu o presidente da Ceperj. Terá que convencer a todos que não sabia dos R$ 226 milhões em espécie. +;1
17;Todo cristão deve votar em Lula, pois é o único candidato ungido pelo Papa Chico. Lula é um ser humano solidário, que respeita o próximo, prega o amor. É o candidato que Jesus votaria se estivesse vivo. Vocês imaginam Jesus com uma arma? Debochando de mortos pela covid? Eu não!;1
18;Que fofura, cantando uma música para o candidato @jairbolsonaro;1
19;AGORA É OFICIAL A partir de terça serei candidato a deputado estadual pelo PDT SP. Vamos mudar a cara da ALESP e transformar a política Paulista. Vamos reconstruir o PDT em São Paulo e seremos a vanguarda de uma nova geração de trabalhistas. Juntos, faremos a diferença;1
20;"""É fake news que Lava Jato teve viés político"", diz o ex-chefe da operação que hoje usa a Lava Jato para pedir votos como candidato a deputado e já disse que irá votar em Bolsonaro, o presidente que amordaçou o MPF. Tá certo, então.";1
21;Venho falando, veremos a esquerda fazer o inimaginável pois sabe que se lascou. Um militante esquerdista filmou agredindo verbalmente o presidente Bolsonaro aguardando uma reação violenta que não houve e em desespero fez de tudo para posar de vítima. Próxima treta?;1
22;Minha proposta é transformar a minha eleição não em um voto pessoal, mas num plesbicito programático. Eu vou tentar em todas as ocasiões que eu tiver oportunidade pra que a gente discuta IDEIAS. Com isso eu celebro uma nova cumplicidade com o povo brasileiro.;1
