;Texto;Valor
11;Essa será as eleições de nossas vidas, a mais importante de todas dos último 20 anos,não podemos errar, não podemos perder o foco, o Brasil é soberano, esse País precisa ser libertado da tirania do Bolsonaro . Brasil livre;2
12;Min. Fachin negou pedido do Ministério da Defesa de acesso a documentos de eleições passadas. Saber como foi é essencial para prevenir. Pelo art. 37 da Constituição deveriam ser públicos para todos os brasileiros. Me faz lembrar motorista que se recusa a soprar no bafômetro.;2
13;"Este é o matemático que quer ser Presidente. Ele acaba de exterminar toda a atual população brasileira e também os que ainda não nascerem. ""O Brasil tem 3% da população do mundo, na pandemia aqui morreram ""11% da população do mundo""???????????";2
14;Já estou pronta para apresentar nosso programa e debater com os demais candidatos. Vamo pra cima, pelo Poder Popular e pelo Socialismo! #ViviMottaDebate #DebateNaBand;2
15;“Acabou o presidencialismo. O Bolsonaro não manda nada. Ele é refém do Congresso. O Bolsonaro sequer cuida do orçamento. Quem cuida é o Lira, ele que libera verba, o Ministro liga pra ele, não liga pro presidente. Isso nunca aconteceu desde a proclamação da república” #LulaNoJN;2
16;Aqui no Ceará os candidatos do MDB não estão ligando muito pra Tebet;2
17;NÃO ESQUECER: Tão importante quanto eleger Lula presidente é eleger deputados e senadores comprometidos com o projeto de reconstrução do Brasil que Lula defende. Faltam 62 dias...;2
18;Como vai ser esse debate? Candidatos esquerdistas derramando MENTIRAS tentando enganar o povo brasileiro e Jair Bolsonaro falando as VERDADES que o povo precisa saber. Traz a pipoca!!!;2
19;Ciro gomes podia ganhar as eleições, pena que brasileiro não sabe votar;2
20;Os valores que os candidatos à Presidência da República propõe pagar de auxílio (antigo Bolsa Família) à famílias de baixa renda caso sejam eleitos: Ciro Gomes = R$ 1,000.00 Lula = R$ 600,00 Bolsonaro (ainda não definiu) Simone Tebet = (ainda não definiu);2
