;Texto;Valor
0;Renata Vasconcellos perguntou no início se Jair Bolsonaro se arrepende de ter debochado dos mortos pela Covid. Presidente não respondeu. #Eleições2022;0
1;"""Não tenho medo de perder as eleições numa democracia, tenho medo de perder a democracia numa eleição"". Presidente Jair Bolsonaro.";0
2;corpo no abismo, coração no paraíso, xie lian para presidente, hua cheng de vice mu qing e feng xin vereadores;1
3; RADICALISMO NO 7 DE SETEMBRO A inteligência militar detectou a possibilidade de movimentos mais radicais de apoio ao presidente Jair Bolsonaro tentarem se infiltrar no desfile de 7 de Setembro no Rio de Janeiro para provocar tumulto e defender a intervenção militar no País.;1
4;É de arrepiar! Esse é o vídeo que o Presidente sempre fala, inclusive citou ele no Flow. Prestem atenção nas palavras dele. Faz tempo que o Bolsonaro se prepara para salvar o Brasil. Valorizem esse homem! Não podemos nos acovardar. Devemos lealdade ao Presidente. (Novembro/2014);1
5;que legal essa ideia da band de misturar candidatos reais com fictícios. so achei q podiam ter inventado nomes mais criveis, ngm se chamaria soraya thronicke;2
6;Parece notícia venha, mas ABAIXOU DE NOVO #Brasil #Presidente #Bolsonaro #tmj;2
7;Jair Messias Bolsonaro em Belo Horizonte -  24/08/2022 -  O presidente mais popular da história do Brasil. Forças Armadas Defesa 7 de setembro;2
8;Bolsonaro é o presidente mais protegido pelos editores e patrões dos meios de comunicação.;2
9;O DESCONDENADO ATACA NOVAMENTE O ex-presidiário e queridinho das feministas endossa a violência contra a mulher! Enquanto isso o presidente Bolsonaro, chamado de forma mentirosa de “machista”, já sancionou mais de 70 leis em favor das mulheres. É fácil escolher o lado certo!;2
